Date,Open,High,Low,Close,Volume
2020/10/09 15:30:00,115.28,115.37,115.02,115.13,2819313
2020/10/09 15:31:00,115.15,115.18,115.01,115.065,465621
2020/10/09 15:32:00,115.065,115.12,114.92,115.12,639482
2020/10/09 15:33:00,115.1181,115.35,114.9701,115.271,623349
2020/10/09 15:34:00,115.297,115.44,115.21,115.425,502253
2020/10/09 15:35:00,115.44,115.56,115.44,115.56,539533
2020/10/09 15:36:00,115.5469,115.5499,115.375,115.47,338559
2020/10/09 15:37:00,115.43,115.61,115.425,115.58,437065
2020/10/09 15:38:00,115.5801,115.65,115.5739,115.6001,396890
2020/10/09 15:39:00,115.59,115.59,115.48,115.56,382715
2020/10/09 15:40:00,115.5977,115.6,115.54,115.57,278448
2020/10/09 15:41:00,115.555,115.64,115.52,115.6101,393439
2020/10/09 15:42:00,115.6018,115.75,115.595,115.725,553724
2020/10/09 15:43:00,115.75,115.76,115.725,115.745,342436
2020/10/09 15:44:00,115.6801,115.69,115.67,115.69,156145
2020/10/09 15:46:00,115.79,115.84,115.7,115.79,530517
2020/10/09 15:47:00,115.8,115.93,115.795,115.8927,618148
2020/10/09 15:48:00,115.9,116.03,115.895,115.99,823955
2020/10/09 15:49:00,115.9965,116.22,115.9801,116.1908,709224
2020/10/09 15:50:00,116.2,116.28,116.01,116.0101,859994
2020/10/09 15:51:00,116.0101,116.08,115.97,116.06,607897
2020/10/09 15:52:00,116.065,116.2,116.06,116.18,506471
2020/10/09 15:53:00,116.18,116.2,115.98,116.015,556110
2020/10/09 15:54:00,116.015,116.22,115.96,116.205,495787
2020/10/09 15:55:00,116.2,116.23,116.0103,116.09,515217
2020/10/09 15:56:00,116.085,116.11,116,116.015,337033
2020/10/09 15:57:00,116.015,116.08,115.91,115.945,504891
2020/10/09 15:58:00,115.94,116.01,115.93,115.9754,257326
2020/10/09 15:59:00,115.975,116.05,115.91,115.94,219667
2020/10/09 16:00:00,115.935,116.05,115.88,115.94,274940
2020/10/09 16:01:00,115.94,116.02,115.81,115.93,236911
2020/10/09 16:02:00,115.9299,115.99,115.9,115.98,182170
2020/10/09 16:03:00,115.98,116.16,115.96,116.145,372029
2020/10/09 16:04:00,116.15,116.22,116.06,116.1601,331526
2020/10/09 16:05:00,116.1653,116.19,116.05,116.07,224981
2020/10/09 16:06:00,116.075,116.09,115.995,116.01,178154
2020/10/09 16:07:00,116.0125,116.02,115.91,115.925,202421
2020/10/09 16:08:00,115.925,115.96,115.8901,115.96,177129
2020/10/09 16:09:00,115.95,116,115.9103,115.93,119038
2020/10/09 16:10:00,115.94,116.02,115.9302,115.96,195533
2020/10/09 16:11:00,115.965,115.99,115.9,115.93,123008
2020/10/09 16:12:00,115.935,116.01,115.9201,115.9663,152331
2020/10/09 16:13:00,115.9708,115.98,115.88,115.92,174741
2020/10/09 16:14:00,115.94,115.98,115.92,115.935,123079
2020/10/09 16:15:00,115.935,116.1,115.92,116.025,251705
2020/10/09 16:16:00,116.0208,116.08,116.02,116.0455,160934
2020/10/09 16:17:00,116.05,116.12,115.98,116,190722
2020/10/09 16:18:00,115.999,116,115.84,115.855,233227
2020/10/09 16:19:00,115.84,115.8699,115.76,115.7793,230404
2020/10/09 16:20:00,115.78,115.84,115.68,115.7618,269727
2020/10/09 16:21:00,115.775,115.86,115.77,115.8533,138721
2020/10/09 16:22:00,115.86,115.9,115.82,115.8501,123866
2020/10/09 16:23:00,115.8499,115.9,115.83,115.88,103197
2020/10/09 16:24:00,115.885,115.94,115.87,115.8871,112914
2020/10/09 16:25:00,115.89,115.91,115.8,115.83,135790
2020/10/09 16:26:00,115.83,115.87,115.78,115.8201,124252
2020/10/09 16:27:00,115.825,115.89,115.82,115.8493,93177
2020/10/09 16:28:00,115.845,115.953,115.82,115.95,169567
2020/10/09 16:29:00,115.96,116.01,115.94,115.965,165024
2020/10/09 16:30:00,115.97,116.01,115.925,115.99,143656
2020/10/09 16:31:00,115.985,116.03,115.98,116,164913
2020/10/09 16:32:00,116.005,116.04,115.9701,116.005,117499
2020/10/09 16:33:00,116,116.09,115.98,116.075,169147
2020/10/09 16:34:00,116.07,116.08,115.995,116.0182,117877
2020/10/09 16:35:00,116.02,116.06,115.95,116.0063,157794
2020/10/09 16:36:00,116.01,116.03,115.98,116,114869
2020/10/09 16:37:00,116,116.05,116,116.04,80120
2020/10/09 16:38:00,116.0425,116.07,116.01,116.025,157754
2020/10/09 16:39:00,116.03,116.05,115.98,115.985,93513
2020/10/09 16:40:00,115.99,116,115.93,115.9309,92799
2020/10/09 16:41:00,115.93,116,115.92,115.99,125540
2020/10/09 16:42:00,115.98,116,115.955,115.9816,115481
2020/10/09 16:43:00,115.98,116,115.9666,115.97,74897
2020/10/09 16:44:00,115.98,116,115.96,115.99,75549
2020/10/09 16:45:00,115.995,116.06,115.98,116.05,136014
2020/10/09 16:46:00,116.05,116.07,116,116.06,110928
2020/10/09 16:47:00,116.055,116.11,116.04,116.0966,143776
2020/10/09 16:48:00,116.09,116.19,116.09,116.1601,217466
2020/10/09 16:49:00,116.16,116.26,116.16,116.22,334746
2020/10/09 16:50:00,116.22,116.36,116.2116,116.275,408239
2020/10/09 16:51:00,116.2716,116.31,116.19,116.205,206383
2020/10/09 16:52:00,116.19,116.21,116.14,116.184,193422
2020/10/09 16:53:00,116.1851,116.2281,116.17,116.21,140032
2020/10/09 16:54:00,116.21,116.22,116.14,116.22,133089
