Date,Open,High,Low,Close,Volume
2020/10/09 15:30:00,1494.7,1494.7,1492.1,1492.6801,22040
2020/10/09 15:31:00,1492.51,1492.73,1489.45,1490.34,4592
2020/10/09 15:32:00,1489.6584,1492.6127,1489.6584,1492.04,7266
2020/10/09 15:33:00,1492.39,1493.3101,1492.17,1492.47,1565
2020/10/09 15:34:00,1492.3149,1496,1492.3149,1495.5781,7066
2020/10/09 15:35:00,1495.3199,1495.6899,1495.3199,1495.39,4178
2020/10/09 15:36:00,1495.25,1495.25,1493.76,1494.83,5923
2020/10/09 15:37:00,1494.6801,1495.425,1494.54,1495.425,2774
2020/10/09 15:38:00,1495.54,1497.04,1495.54,1496.71,3758
2020/10/09 15:39:00,1496.58,1496.92,1495.6949,1496.28,3324
2020/10/09 15:40:00,1496.65,1497.65,1496.65,1497.21,1948
2020/10/09 15:41:00,1497.88,1497.88,1497.24,1497.24,3147
2020/10/09 15:42:00,1497.5699,1497.5699,1497.5699,1497.5699,1363
2020/10/09 15:43:00,1497.63,1498.09,1497.63,1498.08,5591
2020/10/09 15:44:00,1499,1499,1498.1,1498.28,4545
2020/10/09 15:45:00,1498.45,1498.63,1498.04,1498.15,2784
2020/10/09 15:46:00,1496.05,1496.66,1495.855,1496.66,5999
2020/10/09 15:47:00,1498.6,1498.99,1498.47,1498.99,3781
2020/10/09 15:48:00,1500,1500,1500,1500,11371
2020/10/09 15:49:00,1499.58,1501,1498.4661,1501,4663
2020/10/09 15:50:00,1501.01,1501.01,1500.8101,1500.8101,1422
2020/10/09 15:51:00,1499.91,1501.05,1499.91,1501.05,4579
2020/10/09 15:52:00,1500.54,1501.15,1499.41,1499.41,4899
2020/10/09 15:53:00,1499.63,1500.2,1496.79,1497.8385,15821
2020/10/09 15:54:00,1497.5,1499.0836,1497.5,1499.0836,1857
2020/10/09 15:55:00,1499.1749,1499.1749,1498.76,1498.76,1783
2020/10/09 15:56:00,1498.52,1498.8,1498.52,1498.79,1316
2020/10/09 15:57:00,1498.9111,1498.9111,1498.4,1498.4,1868
2020/10/09 15:58:00,1498.8199,1498.8199,1498.8199,1498.8199,650
2020/10/09 15:59:00,1499.22,1500.05,1498.64,1500.05,6685
2020/10/09 16:00:00,1500,1500.36,1498.21,1498.99,7827
2020/10/09 16:01:00,1499.15,1499.36,1497.58,1497.58,3007
2020/10/09 16:02:00,1497.61,1498.3541,1497.61,1497.87,2073
2020/10/09 16:04:00,1499.74,1500.15,1499.7,1500.04,3706
2020/10/09 16:05:00,1499.49,1499.49,1498.2001,1498.21,2564
2020/10/09 16:06:00,1498.52,1498.9301,1498.52,1498.52,1728
2020/10/09 16:07:00,1498.48,1498.48,1497.5699,1497.5699,2242
2020/10/09 16:08:00,1497.55,1498.41,1497.55,1498.41,1777
2020/10/09 16:09:00,1498.47,1498.79,1497.98,1498.14,2685
2020/10/09 16:10:00,1498.59,1499.24,1498.59,1499.01,3047
2020/10/09 16:11:00,1498.52,1498.52,1497.8201,1498.0511,1072
2020/10/09 16:12:00,1498.2,1498.63,1497.14,1497.14,2774
2020/10/09 16:13:00,1497.35,1498.98,1497.35,1498.73,4628
2020/10/09 16:14:00,1498.99,1499.3,1498.99,1499.13,2679
2020/10/09 16:15:00,1498.9,1499.86,1498.9,1499.345,4468
2020/10/09 16:16:00,1499.63,1500.65,1499.4351,1500.3101,13504
2020/10/09 16:17:00,1500.215,1500.215,1498.8199,1498.8199,2929
2020/10/09 16:18:00,1498.27,1498.27,1496.85,1497.44,1808
2020/10/09 16:19:00,1496.72,1497.8499,1496.57,1497.57,2162
2020/10/09 16:20:00,1496.37,1496.95,1496.37,1496.95,872
2020/10/09 16:21:00,1498.37,1498.38,1498.16,1498.26,1073
2020/10/09 16:22:00,1498.23,1499,1497.62,1497.98,2714
2020/10/09 16:24:00,1498.78,1500.015,1498.78,1500.015,1983
2020/10/09 16:25:00,1500.505,1500.5375,1499.69,1499.97,2658
2020/10/09 16:26:00,1500.08,1501.14,1500.005,1500.22,2530
2020/10/09 16:27:00,1500.81,1500.94,1500.155,1500.85,1657
2020/10/09 16:28:00,1500.65,1502.37,1500.65,1501.97,5266
2020/10/09 16:29:00,1502.3,1502.475,1501.61,1501.98,5670
2020/10/09 16:30:00,1502.5,1504.85,1502.5,1504.5366,6687
2020/10/09 16:31:00,1504.15,1505.52,1504.15,1504.87,2772
2020/10/09 16:32:00,1504.66,1504.96,1504.21,1504.21,3205
2020/10/09 16:33:00,1504.0401,1504.8551,1504.0258,1504.0258,2795
2020/10/09 16:34:00,1504.13,1504.13,1502.62,1502.62,1929
2020/10/09 16:35:00,1503.35,1504.72,1503.35,1504.72,1880
2020/10/09 16:36:00,1504.27,1505.14,1504.04,1504.33,2931
2020/10/09 16:37:00,1504.99,1505.46,1504.99,1505.19,758
2020/10/09 16:38:00,1505.53,1505.68,1504.89,1505.5,2053
2020/10/09 16:39:00,1505.59,1506,1505.175,1505.175,4155
2020/10/09 16:40:00,1505.085,1505.2,1504.78,1504.78,1379
2020/10/09 16:41:00,1504.7,1505.495,1504.45,1505.275,2545
2020/10/09 16:42:00,1505.13,1505.66,1505.035,1505.47,1533
2020/10/09 16:43:00,1505.545,1505.97,1505.21,1505.21,2130
2020/10/09 16:44:00,1505.17,1505.5625,1504.89,1505.43,2428
2020/10/09 16:45:00,1505.32,1505.95,1505.085,1505.085,1412
2020/10/09 16:46:00,1505.04,1505.04,1504.72,1504.72,1113
2020/10/09 16:47:00,1504.61,1506.0737,1504.46,1505.745,2383
2020/10/09 16:48:00,1506.13,1506.62,1506.13,1506.56,1833
2020/10/09 16:49:00,1506.55,1507,1506.195,1506.195,2647
2020/10/09 16:50:00,1505.49,1505.55,1504.86,1505.55,2249
2020/10/09 16:51:00,1505.66,1505.66,1505,1505.01,1107
2020/10/09 16:52:00,1505.12,1505.771,1504.96,1505.18,4026
2020/10/09 16:54:00,1504.78,1504.78,1503.72,1503.81,2998
2020/10/09 16:55:00,1503.27,1504.5685,1503.27,1504.5685,1597
2020/10/09 16:56:00,1504.03,1504.08,1504.03,1504.08,870
2020/10/09 16:57:00,1504.12,1504.12,1503.87,1503.96,1212
2020/10/09 16:58:00,1503.675,1503.99,1503.31,1503.31,4531
2020/10/09 16:59:00,1503.3,1503.3,1502.79,1502.79,2207
2020/10/09 17:00:00,1502.88,1502.88,1502.57,1502.63,1372
2020/10/09 17:01:00,1503.49,1503.68,1503.39,1503.57,965
2020/10/09 17:02:00,1502.96,1502.96,1502.63,1502.69,1064
2020/10/09 17:03:00,1503.98,1504.64,1503.96,1504.44,1974
2020/10/09 17:04:00,1505,1505.99,1505,1505.595,1821
2020/10/09 17:05:00,1505.19,1505.265,1503.45,1503.45,4891
2020/10/09 17:06:00,1503.15,1503.56,1503.15,1503.56,1099
2020/10/09 17:07:00,1503.48,1503.55,1502.805,1503.4,3663
2020/10/09 17:08:00,1503.36,1503.36,1503.055,1503.31,2817
2020/10/09 17:09:00,1503.64,1503.685,1503.38,1503.41,991
2020/10/09 17:10:00,1504.28,1504.69,1503.93,1504.36,2885
2020/10/09 17:12:00,1503.45,1504.05,1503.28,1504.05,1143
2020/10/09 17:13:00,1504.41,1504.56,1503.29,1503.79,1588
2020/10/09 17:14:00,1503.81,1504.42,1503.81,1504.11,451
2020/10/09 17:16:00,1504.21,1504.67,1504.18,1504.67,1631
